activity_type,contribution
a,0.03017121702915317
b,0.008110859357042
c,0.016843826655764515
d,0.04655425219941349
e,0.028169014084507043
f,0.003680044438272462
g,0.22916666666666666
h,0.02272417486125986
i,0.05207840664249304
j,0.014633855864707546
k,0.004230565838180857
l,0.027927868042960106
m,0.02169559883237206
n,0.04300200394762615
o,0.029557925251061188
p,0.04684695835138313
q,0.04693877551020408
r,0.1065891472868217
s,0.04014350819354213
t,0.02674082313681869
u,0.015831830165117248
v,0.0823429963701457
w,0.06789363864961746
x,0.01823185414516684
y,0.0825760717921647
